acl 2.2.52-2
alsa-lib 1.0.28-1
alsa-plugins 1.0.28-2
alsa-utils 1.0.28-1
apache 2.4.10-1
apr 1.5.1-1
apr-util 1.5.4-1
arch-install-scripts 13-1
archlinux-keyring 20140908-1
arj 3.10.22-8
aspell 0.60.6.1-2
at-spi2-atk 2.12.1-1
at-spi2-core 2.12.0-1
atk 2.12.0-1
atkmm 2.22.7-1
atril 1.8.1-1
attr 2.4.47-1
avahi 0.6.31-13
awesome 3.5.5-1
babl 0.1.10-2
bash 4.3.030-1
binutils 2.24-7
boost-libs 1.56.0-1
bzip2 1.0.6-5
ca-certificates 20140325-2
ca-certificates-cacert 20140824-1
ca-certificates-mozilla 3.17.1-1
ca-certificates-utils 20140325-2
cairo 1.12.16-3
cairomm 1.10.0-3
caja 1.8.2-1
caja-extensions-common 1.8.0-3
caja-gksu 1.8.0-3
caja-image-converter 1.8.0-3
caja-open-terminal 1.8.0-3
caja-sendto 1.8.0-3
caja-share 1.8.0-3
cifs-utils 6.3-2
clang 3.5.0-2.1
clips 6.30-1
cloog 0.18.1-3
clucene 2.3.3.4-8
colord 1.2.3-1
compositeproto 0.4.2-3
coreutils 8.23-1
cracklib 2.9.1-1
cryptsetup 1.6.6-1
curl 7.38.0-2
damageproto 1.2.1-3
db 5.3.28-1
dbus 1.8.8-1
dbus-glib 0.102-1
dconf 0.20.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.111-1
dex 0.7-1
dhcpcd 6.4.7-1
dialog 1:1.2_20140911-1
diffutils 3.3-2
dirmngr 1.1.1-3
dnssec-anchors 20140629-1
e2fsprogs 1.42.12-1
elfutils 0.159-1
emacs 24.3-7
enchant 1.6.0-5
engrampa 1.8.1-1
eom 1.8.1-1
exempi 2.2.1-2
expat 2.1.0-3
fftw 3.3.4-1
file 5.19-1
filesystem 2014.07-1
findutils 4.4.2-6
firefox 32.0.3-1
fixesproto 5.0-3
flac 1.3.0-4
fontconfig 2.11.1-1
fontforge 20140101-3
fontsproto 2.1.3-1
freeglut 2.8.1-1
freetype2 2.5.3-2
fribidi 0.19.6-2
fuse 2.9.3-2
galculator-gtk2 2.1.3-3
gamin 0.1.10-8
gawk 4.1.1-1
gc 7.4.2-2
gcc 4.9.1-2
gcc-libs 4.9.1-2
gconf 3.2.6-3
gd 2.1.0-3
gdb 7.8-2
gdbm 1.11-1
gdk-pixbuf2 2.30.8-1
gegl 0.2.0-12
gettext 0.19.2-2
