70:85:c2:d2:9b:35 172.27.24.166
70:85:c2:d2:92:3d 172.27.24.85
70:85:c2:d2:93:10 172.27.24.86
70:85:c2:d2:9a:d1 172.27.24.87
70:85:c2:d2:92:92 172.27.24.88
70:85:c2:d2:9b:18 172.27.24.126
70:85:c2:cc:0a:e8 172.27.24.150
70:85:c2:d2:9b:0e 172.27.24.151
70:85:c2:cc:0a:fa 172.27.24.149
70:85:c2:d2:9a:88 172.27.24.165
04:D4:C4:AA:25:C1 172.27.24.177
04:D4:C4:AA:35:58 172.27.24.178
04:D4:C4:AA:25:03 172.27.24.179
04:D4:C4:AA:24:C6 172.27.24.180
04:d4:c4:aa:35:59 172.27.24.181
04:D4:C4:AA:25:B6 172.27.24.182
04:D4:C4:AA:34:BB 172.27.24.184
04:D4:C4:AA:30:80 172.27.24.185
04:D4:C4:AA:36:54 172.27.24.183
04:d4:c4:aa:34:af 172.27.24.176
